© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1953 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;F.D.P.;CSU;GB/BHE;BP;DP;DRP;Zentrum;GVP;KPD;DNS;SSW
01;001;Flensburg, Stadt;67590;59883;1374;58509;20207;7219;1723;0;7405;0;1576;545;0;336;468;183;18847
01;002;Kiel, Landeshauptstadt;178792;156399;2632;153767;82115;51839;6249;0;4930;0;2895;1322;0;639;3249;74;455
01;003;Lübeck, Hansestadt;161892;143372;4072;139300;66183;42596;5676;0;13053;0;4642;1586;0;800;1979;2554;231
01;004;Neumünster, Stadt;49177;43919;1206;42713;21969;14272;1241;0;2886;0;919;317;0;113;793;158;45
01;005;Eckernförde;47230;41127;937;40190;20090;9538;1129;0;5215;0;1103;227;0;79;401;23;2385
01;006;Eiderstedt;14304;12359;371;11988;4733;2161;524;0;1196;0;1517;63;0;53;74;9;1658
01;007;Eutin;64166;58088;1720;56368;25909;14770;1952;0;10359;0;1708;480;0;187;462;380;161
01;008;Flensburg;42418;37636;1193;36443;17599;5471;668;0;5842;0;1443;359;0;150;167;66;4678
01;009;Herzogtum Lauenburg;94167;84163;2845;81318;38396;21848;2740;0;12555;0;2692;1469;0;317;1140;89;72
01;010;Husum;43018;36613;1128;35485;16655;7265;866;0;3842;0;3261;226;0;143;175;44;3008
01;011;Norderdithmarschen;43063;37782;1109;36673;18971;8936;1342;0;4226;0;2519;204;0;150;265;20;40
01;012;Oldenburg (Holstein);54891;49007;1759;47248;20745;14077;2182;0;6714;0;1867;747;0;211;420;182;103
01;013;Pinneberg;125630;111264;3660;107604;41400;36099;7169;0;12541;0;6203;800;0;716;2311;265;100
01;014;Plön;72569;65670;1498;64172;34558;18726;1309;0;6843;0;1431;433;0;198;576;43;55
01;015;Rendsburg;106374;94920;2832;92088;48093;20296;3845;0;12121;0;3773;898;0;356;952;105;1649
01;016;Schleswig;69598;61160;1702;59458;29421;8326;3007;0;9064;0;1914;364;0;141;279;35;6907
01;017;Segeberg;63692;56601;1867;54734;27582;11104;3270;0;9613;0;1531;956;0;172;391;50;65
01;018;Steinburg;88850;78318;2626;75692;28015;24111;7380;0;8532;0;5608;440;0;452;1087;13;54
01;019;Stormarn;90172;80800;2674;78126;34137;22079;5492;0;11589;0;1853;872;0;487;1154;396;67
01;020;Süderdithmarschen;53661;46633;1471;45162;21796;12448;2047;0;5069;0;3065;248;0;134;301;19;35
01;021;Südtondern;42226;36054;1030;35024;17996;4617;1675;0;3505;0;2650;238;0;181;166;26;3970
02;022;Hamburg, Freie und Hansestadt;1241880;1085279;25296;1059983;389335;403410;108722;0;26133;0;62123;17101;0;12881;40278;0;0
03;023;Hameln, Stadt;34624;31038;774;30264;10004;10173;1106;0;2939;0;4414;1225;0;166;237;0;0
03;024;Hannover, Landeshauptstadt;359403;313810;5872;307938;93472;135417;18929;0;11805;0;31914;8480;0;2683;5238;0;0
03;025;Grafschaft Diepholz;49683;42593;1335;41258;10915;7031;4387;0;5679;0;9365;3641;0;120;120;0;0
03;026;Grafschaft Hoya;80865;71445;2398;69047;20624;16012;1058;0;9164;0;17790;3816;0;238;345;0;0
03;027;Grafschaft Schaumburg;58271;53410;2279;51131;16122;18622;1963;0;8011;0;3691;1654;0;395;673;0;0
03;028;Hameln-Pyrmont;60901;55812;1529;54283;14618;18489;1834;0;8914;0;7964;1802;0;229;433;0;0
03;029;Hannover;105390;96583;2437;94146;25659;42573;5592;0;7352;0;8653;2572;0;488;1257;0;0
03;030;Neustadt am Rübenberge;46342;41297;1340;39957;8632;13065;1697;0;6277;0;8198;1431;0;357;300;0;0
03;031;Nienburg (Weser);71511;62870;2144;60726;13624;16604;2055;0;7961;0;14528;5263;0;359;332;0;0
03;032;Schaumburg-Lippe;56358;50804;1585;49219;13653;20109;4258;0;5622;0;3323;1089;0;607;558;0;0
03;033;Springe;43151;39776;1136;38640;8144;15038;1191;0;6321;0;6306;1077;0;140;423;0;0
03;034;Hildesheim, Stadt;54304;48562;944;47618;21609;14867;3954;0;2358;0;1933;1396;0;973;528;0;0
03;035;Alfeld (Leine);60334;55859;1971;53888;12108;21643;3289;0;8342;0;6558;1232;0;168;548;0;0
03;036;Duderstadt;25913;24110;480;23630;15513;3137;1563;0;2345;0;844;117;0;34;77;0;0
03;037;Einbeck;30155;27680;677;27003;5506;9769;2738;0;3837;0;3372;1424;0;141;216;0;0
03;038;Göttingen;39767;36502;1227;35275;9851;11723;6664;0;4067;0;1655;1012;0;131;172;0;0
03;039;Göttingen, Stadt;52725;46737;970;45767;17975;10685;9819;0;2721;0;1909;1838;0;464;356;0;0
03;040;Hildesheim-Marienburg;75804;70867;1844;69023;25563;21753;2872;0;13364;0;3413;1062;0;432;564;0;0
03;041;Holzminden;60859;55676;1354;54322;14028;20679;4341;0;8213;0;3020;3256;0;211;574;0;0
03;042;Münden;30858;27915;819;27096;6615;10491;4209;0;2730;0;1759;745;0;97;450;0;0
03;043;Northeim;65741;59961;1376;58585;14232;20085;8952;0;8040;0;5556;1246;0;128;346;0;0
03;044;Osterode am Harz;60171;54506;1471;53035;16765;19065;7608;0;5407;0;2669;591;0;194;736;0;0
03;045;Peine;68066;62483;1814;60669;16684;21488;2075;0;8722;0;9407;1208;0;215;870;0;0
03;046;Zellerfeld;29715;26831;705;26126;9812;9369;2643;0;2003;0;1628;299;0;120;252;0;0
03;047;Celle, Stadt;38273;33226;925;32301;11668;8386;2128;0;2735;0;3736;2668;0;337;643;0;0
03;048;Lüneburg, Stadt;37738;32748;580;32168;12060;8439;2378;0;2839;0;2911;2781;0;203;557;0;0
03;049;Wolfsburg, Stadt;19739;16654;478;16176;8760;3225;475;0;1802;0;1095;576;0;81;162;0;0
03;050;Burgdorf;72345;65047;2051;62996;16351;21784;2458;0;8976;0;10326;2247;0;327;527;0;0
03;051;Celle;61097;54973;1923;53050;15546;11154;2631;0;10572;0;7588;4763;0;369;427;0;0
03;052;Fallingbostel;44016;39330;1383;37947;9281;9413;1362;0;6724;0;8621;2088;0;198;260;0;0
03;053;Gifhorn;75017;67597;2359;65238;16635;11861;1810;0;13502;0;19432;1484;0;198;316;0;0
03;054;Harburg;76345;67675;2270;65405;17256;15750;2680;0;7492;0;18525;2752;0;359;591;0;0
03;055;Lüchow-Dannenberg;43282;38612;941;37671;12262;7133;1287;0;7177;0;8255;1247;0;114;196;0;0
