© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1957 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;F.D.P.;DP;FU;GB/BHE;Sonstige
01;001;Flensburg, Stadt;66458;55107;2277;52830;19279;11227;0;2456;1506;0;4095;14267
01;002;Kiel, Landeshauptstadt;182676;151710;4493;147217;70903;60227;0;7386;2244;0;4434;2023
01;003;Lübeck, Hansestadt;167204;140060;7266;132794;67177;44831;0;7547;2223;0;9820;1196
01;004;Neumünster, Stadt;51049;43169;2135;41034;20234;16104;0;1736;606;0;2163;191
01;005;Eckernförde;43211;35920;1155;34765;17206;10007;0;1847;1012;0;2971;1722
01;006;Eiderstedt;12607;10153;473;9680;3842;2234;0;441;1318;0;586;1259
01;007;Eutin;60844;51947;1879;50068;23647;14665;0;2556;1314;0;7528;358
01;008;Flensburg;39472;33587;1315;32272;15311;5540;0;1177;3354;0;3132;3758
01;009;Herzogtum Lauenburg;96070;80344;3685;76659;37024;23788;0;3348;2990;0;8325;1184
01;010;Husum;40819;33464;1694;31770;15380;7768;0;1514;3001;0;2233;1874
01;011;Norderdithmarschen;40061;33507;1556;31951;16350;8650;0;1816;1946;0;2849;340
01;012;Oldenburg (Holstein);50029;42526;1678;40848;18725;13536;0;1869;1436;0;4660;622
01;013;Pinneberg;134921;114963;4498;110465;47894;41860;0;7771;3970;0;8115;855
01;014;Plön;70875;61106;2000;59106;29039;20342;0;2155;1636;0;5413;521
01;015;Rendsburg;104782;88316;3605;84711;42788;23570;0;5114;3405;0;8267;1567
01;016;Schleswig;64301;53489;2038;51451;26761;9464;0;2850;1867;0;5215;5294
01;017;Segeberg;60916;51372;2419;48953;25823;11175;0;3734;1372;0;6512;337
01;018;Steinburg;84350;71849;2671;69178;29822;22948;0;3766;5736;0;6487;419
01;019;Stormarn;91789;78836;3106;75730;33441;25799;0;5802;2356;0;7492;840
01;020;Süderdithmarschen;49950;41351;1924;39427;19662;12117;0;2065;2378;0;2891;314
01;021;Südtondern;36577;28767;1271;27496;14268;5361;0;1715;1178;0;1874;3100
02;022;Hamburg, Freie und Hansestadt;1328657;1111378;29927;1081451;396069;506286;0;99885;50414;0;15674;13123
03;023;Hameln, Stadt;36444;30753;898;29855;10407;10748;0;1356;4527;43;2072;702
03;024;Hannover, Landeshauptstadt;406889;338612;9400;329212;112119;148337;0;27210;22221;302;11586;7437
03;025;Grafschaft Diepholz;48600;39863;1531;38332;10171;7129;0;3881;10933;50;4054;2114
03;026;Grafschaft Hoya;77685;66232;2561;63671;23764;14887;0;2337;14302;54;5655;2672
03;027;Grafschaft Schaumburg;55046;48072;1452;46620;13277;18980;0;2385;4613;23;6063;1279
03;028;Hameln-Pyrmont;55833;48238;1450;46788;13267;17807;0;1770;7164;34;5884;862
03;029;Hannover;111482;97828;2992;94836;31514;43659;0;5454;6891;71;5572;1675
03;030;Neustadt am Rübenberge;46724;40217;1708;38509;11171;13701;0;1794;6968;28;3932;915
03;031;Nienburg (Weser);69060;58015;2015;56000;14769;17684;0;3040;10978;137;5513;3879
03;032;Schaumburg-Lippe;55007;46927;1393;45534;12618;20501;0;3192;3229;50;4132;1812
03;033;Springe;42556;37468;1130;36338;10026;14660;0;1316;4542;57;5027;710
03;034;Hildesheim, Stadt;60798;50942;1318;49624;22953;17148;0;3282;2343;215;2605;1078
