© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1961 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;GDP;DFU;DRP;DG;SSW
01;001;Flensburg, Stadt;70223;55315;2972;52343;15701;17489;0;6526;1665;586;302;49;10025
01;002;Kiel, Landeshauptstadt;193628;158175;6930;151245;70433;55557;0;18548;1927;2687;1727;84;282
01;003;Lübeck, Hansestadt;173748;143395;9517;133878;54757;55648;0;15086;4358;2296;1600;77;56
01;004;Neumünster, Stadt;53748;44603;2815;41788;19134;15387;0;5573;711;667;153;141;22
01;005;Eckernförde;43309;35926;1751;34175;12025;15223;0;3880;1305;306;234;25;1177
01;006;Eiderstedt;12751;10226;436;9790;2704;3385;0;2240;341;67;101;4;948
01;007;Eutin;63601;53331;2291;51040;18356;21451;0;6265;3955;555;363;70;25
01;008;Flensburg;41815;34995;1826;33169;7849;15680;0;4183;1795;248;349;39;3026
01;009;Herzogtum Lauenburg;93120;78887;4329;74558;28627;31494;0;8638;3430;1300;966;60;43
01;010;Husum;42674;34809;1661;33148;9687;15480;0;4525;1549;213;389;23;1282
01;011;Norderdithmarschen;40794;33613;2109;31504;9733;15084;0;4869;1186;218;343;41;30
01;012;Oldenburg (Holstein);51795;42997;2111;40886;15523;16862;0;5006;2770;323;356;23;23
01;013;Pinneberg;151027;127459;5628;121831;50018;48173;0;17010;3473;2269;654;160;74
01;014;Plön;74789;63320;2591;60729;24497;24663;0;6945;3402;595;553;39;35
01;015;Rendsburg;110210;91690;4366;87324;28643;41029;0;11848;3176;983;753;184;708
01;016;Schleswig;65909;54313;2386;51927;12735;25278;0;6989;2542;312;436;41;3594
01;017;Segeberg;65028;54570;2872;51698;14980;22462;0;10369;2878;482;345;150;32
01;018;Steinburg;86999;72990;2843;70147;25721;27114;0;12160;3301;976;796;54;25
01;019;Stormarn;101449;85901;3745;82156;31569;31787;0;12825;3712;1677;478;57;51
01;020;Süderdithmarschen;50618;42044;2228;39816;13978;17767;0;6227;1178;248;313;64;41
01;021;Südtondern;38906;29924;1290;28634;6837;13800;0;4414;841;229;144;17;2352
02;022;Hamburg, Freie und Hansestadt;1386411;1136977;32759;1104218;528656;345302;0;168205;10801;41440;9814;0;0
03;023;Hameln, Stadt;37513;31227;1015;30212;12988;10595;0;4607;1149;509;356;8;0
03;024;Hannover, Landeshauptstadt;427463;350520;7843;342677;167055;109829;0;48599;5972;7287;3557;378;0
03;025;Grafschaft Diepholz;50500;40090;1576;38514;9739;12238;0;11994;3147;225;1151;20;0
03;026;Grafschaft Hoya;77549;66281;2213;64068;19700;24064;0;9711;8303;430;1769;91;0
03;027;Grafschaft Schaumburg;55398;48256;1698;46558;20884;14092;0;6000;3927;793;839;23;0
03;028;Hameln-Pyrmont;55295;47440;1599;45841;20088;14329;0;7054;3162;596;580;32;0
03;029;Hannover;126913;110730;3131;107599;54042;35694;0;12154;2974;1544;1097;94;0
03;030;Neustadt am Rübenberge;51576;43910;1769;42141;17980;15364;0;5061;2272;371;1064;29;0
03;031;Nienburg (Weser);69202;56614;2162;54452;19787;17252;0;7455;6931;551;2433;43;0
03;032;Schaumburg-Lippe;56667;48518;1511;47007;23419;13511;0;6099;2913;423;603;39;0
03;033;Springe;44040;38505;1261;37244;17823;10497;0;4973;3093;412;416;30;0
03;034;Hildesheim, Stadt;68549;57063;1451;55612;22424;22075;0;7570;1717;954;834;38;0
03;035;Alfeld (Leine);57568;50632;1617;49015;23566;14162;0;6456;3754;664;390;23;0
03;036;Duderstadt;26208;23332;782;22550;4060;16226;0;1194;920;87;46;17;0
03;037;Einbeck;30198;26273;928;25345;11751;7754;0;4019;1189;246;361;25;0
03;038;Göttingen;43210;37379;1167;36212;16707;11078;0;5647;2044;250;331;155;0
03;039;Göttingen, Stadt;53495;42457;841;41616;15955;15285;0;8215;1109;549;378;125;0
03;040;Hildesheim-Marienburg;74551;65680;2409;63271;26622;24776;0;5442;5085;590;719;37;0
03;041;Holzminden;58969;51185;2109;49076;23732;13306;0;7558;3211;600;618;51;0
03;042;Münden;30938;26598;822;25776;12900;7554;0;3189;1427;361;303;42;0
03;043;Northeim;63594;55362;2029;53333;25188;14917;0;7939;4098;326;614;251;0
03;044;Osterode am Harz;59726;51299;2010;49289;23128;17346;0;5326;2020;640;679;150;0
03;045;Peine;68889;59805;2044;57761;27796;17488;0;4630;6212;775;747;113;0
03;046;Zellerfeld;24395;20042;658;19384;9170;6872;0;2450;525;186;120;61;0
03;047;Celle, Stadt;41245;32916;1176;31740;11464;13169;0;4840;908;626;667;66;0
03;048;Lüneburg, Stadt;40700;32927;986;31941;11814;11453;0;5864;1457;604;743;6;0
03;049;Wolfsburg, Stadt;41701;35133;954;34179;14014;14783;0;3446;1041;326;516;53;0
03;050;Burgdorf;79264;67673;2637;65036;27967;22193;0;8034;4963;685;1143;51;0
03;051;Celle;63117;53242;2226;51016;16481;20785;0;6732;4420;478;2034;86;0
03;052;Fallingbostel;41980;35550;1217;34333;12591;8474;0;4952;6741;316;966;293;0
03;053;Gifhorn;80709;69433;3324;66109;20564;25955;0;7279;10141;473;1619;78;0
03;054;Harburg;80886;67912;2893;65019;21715;24449;0;10478;5144;956;2219;58;0
03;055;Lüchow-Dannenberg;38035;31342;1376;29966;7748;12024;0;3885;5499;270;487;53;0
03;056;Lüneburg;39318;32519;1647;30872;10037;9706;0;4157;5574;239;1135;24;0
03;057;Soltau;40315;33834;1244;32590;9002;14724;0;3618;4381;207;613;45;0
03;058;Uelzen;67816;57763;2128;55635;18674;19735;0;8790;6513;574;1287;62;0
03;059;Cuxhaven, Stadt;31197;24351;1248;23103;10562;7791;0;3247;750;309;430;14;0
03;060;Bremervörde;46128;39207;1765;37442;9256;12516;0;4710;9991;228;720;21;0
03;061;Land Hadeln;42278;35246;1589;33657;11824;12025;0;3465;5022;350;922;49;0
03;062;Osterholz;46650;39089;1682;37407;15150;12382;0;2922;5661;703;547;42;0
03;063;Rotenburg (Hannover);34778;29411;835;28576;8692;10391;0;3128;5691;212;412;50;0
03;064;Stade;89126;73528;3389;70139;25843;22862;0;11388;7470;760;1763;53;0
03;065;Verden;57584;47678;2118;45560;17835;16771;0;5736;4068;446;666;38;0
03;066;Wesermünde;47940;40798;1970;38828;13182;13954;0;3248;7450;344;612;38;0
03;067;Osnabrück, Stadt;99399;83549;2624;80925;31918;32320;0;12449;2290;1137;797;14;0
03;068;Aschendorf-Hümmling;41214;36218;1458;34760;2986;30218;0;866;458;130;99;3;0
03;069;Bersenbrück;54595;46624;1481;45143;14340;23084;0;4843;1801;479;579;17;0
03;070;Grafschaft Bentheim;64762;54898;2065;52833;16537;24689;0;5762;3054;1504;1271;16;0
03;071;Lingen;44126;39152;1064;38088;6699;28539;0;1720;855;152;117;6;0
03;072;Melle;27608;23843;679;23164;7990;9383;0;3742;1369;186;490;4;0
03;073;Meppen;39844;35129;1143;33986;4020;27419;0;1076;1204;120;133;14;0
03;074;Osnabrück;81309;72259;2291;69968;22241;37252;0;6183;3239;454;575;24;0
03;075;Wittlage;18883;15883;460;15423;4885;5491;0;3194;1336;117;395;5;0
03;076;Emden, Stadt;31255;25440;1056;24384;13068;7269;0;2605;334;788;315;5;0
03;077;Aurich (Ostfriesland);47502;34812;1643;33169;13629;14279;0;2899;1063;755;527;17;0
03;078;Leer;83659;66795;2700;64095;25644;29120;0;6249;1395;740;919;28;0
03;079;Norden;50660;40909;2034;38875;19630;12926;0;4035;1108;549;612;15;0
03;080;Wittmund;34077;25305;1404;23901;6828;10504;0;5042;892;142;471;22;0
03;081;Braunschweig, Stadt;180049;148140;4557;143583;64870;52027;0;18783;2912;3588;1197;206;0
03;082;Goslar, Stadt;30174;24516;716;23800;8724;10553;0;3409;588;332;149;45;0
03;083;Salzgitter, Stadt;74640;64000;2601;61399;27174;25272;0;4187;2839;1000;788;139;0
03;084;Blankenburg;10513;8716;284;8432;3979;3200;0;815;253;134;49;2;0
03;085;Braunschweig;50665;43680;1719;41961;16942;15923;0;4367;3183;474;1033;39;0
03;086;Gandersheim;54928;47513;1559;45954;22312;15957;0;5043;1753;422;415;52;0
03;087;Goslar;29134;25515;1006;24509;10913;9888;0;1864;1263;352;212;17;0
03;088;Helmstedt;84586;73235;2924;70311;28086;32480;0;5766;2466;750;695;68;0
03;089;Wolfenbüttel;95884;81468;2844;78624;34364;31473;0;8697;2021;1071;954;44;0
03;090;Delmenhorst, Stadt;40608;34554;1261;33293;16045;11700;0;3810;863;432;427;16;0
03;091;Oldenburg (Oldenburg), Stadt;86294;69479;2878;66601;23733;21859;0;15050;2893;1165;1879;22;0
03;092;Wilhelmshaven, Stadt;72136;59478;2018;57460;27663;20721;0;6940;534;927;618;57;0
03;093;Ammerland;45612;36677;1713;34964;9195;12477;0;9933;1483;273;1581;22;0
03;094;Cloppenburg;57110;50643;1384;49259;6297;39483;0;1930;1077;157;312;3;0
03;095;Friesland;57042;47024;2211;44813;18196;13722;0;10381;905;510;1081;18;0
03;096;Oldenburg (Oldenburg);48473;41121;1670;39451;12093;15544;0;7906;2378;331;1180;19;0
03;097;Vechta;47007;42549;1078;41471;4213;34255;0;1400;1310;72;208;13;0
03;098;Wesermarsch;66191;55090;2418;52672;21630;15997;0;9938;2981;644;1451;31;0
04;099;Bremen, Stadt;406408;342557;15771;326786;165941;85693;0;50682;10516;10041;3913;0;0
04;100;Bremerhaven, Stadt;101352;81774;3454;78320;39090;21434;0;9053;5817;2145;781;0;0
05;101;Düsseldorf, Stadt;500092;394418;9897;384521;138925;171142;0;58484;3087;10824;1935;124;0
05;102;Duisburg, Stadt;356163;287076;8813;278263;133731;109130;0;25312;1455;7400;1182;53;0
05;103;Essen, Stadt;525804;423893;14005;409888;189338;170436;0;36220;1619;10705;1483;87;0
05;104;Krefeld, Stadt;154572;125026;3240;121786;45461;56402;0;17057;754;1593;478;41;0
05;105;Leverkusen, Stadt;65391;52762;1968;50794;20145;23111;0;6100;306;812;297;23;0
05;106;Mönchengladbach, Stadt;105509;85262;4027;81235;21364;47863;0;9833;468;1432;251;24;0
05;107;Mülheim an der Ruhr, Stadt;134789;110457;3516;106941;51488;38012;0;14313;404;2261;436;27;0
05;108;Neuss, Stadt;63594;52048;1704;50344;14322;28247;0;5724;1045;812;169;25;0
05;109;Oberhausen, Stadt;175426;144524;6119;138405;60706;62440;0;11222;513;2326;1131;67;0
05;110;Remscheid, Stadt;92475;75713;2504;73209;26489;28079;0;13115;534;4374;490;128;0
05;111;Rheydt, Stadt;66676;53386;2724;50662;15773;25816;0;6804;319;1800;140;10;0
