© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;
;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1965 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;
;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;Sonstige
01;001;Flensburg, Stadt;69945;51897;1334;50563;23398;20854;0;4454;1857
01;002;Kiel, Landeshauptstadt;194849;152080;2074;150006;72507;60278;0;11885;5336
01;003;Lübeck, Hansestadt;177503;141919;4201;137718;60795;61270;0;9765;5888
01;004;Neumünster, Stadt;54672;43807;1154;42653;19298;19101;0;3170;1084
01;005;Eckernförde;46698;36800;862;35938;13951;17341;0;3798;848
01;006;Eiderstedt;13011;9716;239;9477;3127;4254;0;1668;428
01;007;Eutin;66041;53521;1284;52237;20118;25470;0;4529;2120
01;008;Flensburg;44277;34833;899;33934;10930;18447;0;3305;1252
01;009;Herzogtum Lauenburg;96961;79452;2106;77346;30121;37681;0;6441;3103
01;010;Husum;43800;34241;768;33473;10290;18209;0;3509;1465
01;011;Norderdithmarschen;41935;33526;881;32645;10340;18079;0;3132;1094
01;012;Oldenburg (Holstein);53238;42378;1145;41233;16448;19840;0;3150;1795
01;013;Pinneberg;164967;134787;2586;132201;53452;62288;0;12193;4268
01;014;Plön;79027;64612;1416;63196;25881;29888;0;5303;2124
01;015;Rendsburg;113322;90576;2512;88064;30533;46139;0;8690;2702
01;016;Schleswig;66178;52023;1206;50817;16158;27869;0;4827;1963
01;017;Segeberg;69425;56528;1496;55032;17043;29317;0;7070;1602
01;018;Steinburg;87946;71485;1522;69963;25831;33559;0;7962;2611
01;019;Stormarn;110400;90332;2167;88165;34013;40959;0;9815;3378
01;020;Süderdithmarschen;51479;41558;1022;40536;13960;21387;0;3877;1312
01;021;Südtondern;41592;30072;676;29396;8713;16814;0;3126;743
02;022;Hamburg, Freie und Hansestadt;1392994;1091479;15194;1076285;528920;396912;0;99533;50920
03;023;Hameln, Stadt;37131;30005;671;29334;13066;11957;0;3437;874
03;024;Hannover, Landeshauptstadt;417450;325201;5874;319327;161027;112111;0;32729;13460
03;025;Grafschaft Diepholz;51240;40500;1115;39385;10718;17332;0;9659;1676
03;026;Grafschaft Hoya;78245;65073;1596;63477;19306;30349;0;12158;1664
03;027;Grafschaft Schaumburg;56489;47874;1164;46710;22234;18768;0;4251;1457
03;028;Hameln-Pyrmont;57015;47440;1119;46321;21083;18331;0;5851;1056
03;029;Hannover;146313;123455;2443;121012;59656;46487;0;11159;3710
03;030;Neustadt am Rübenberge;61409;51196;1256;49940;22166;21240;0;5241;1293
03;031;Nienburg (Weser);70016;56294;1332;54962;20893;24220;0;7234;2615
03;032;Schaumburg-Lippe;58483;48880;1169;47711;23643;18163;0;4813;1092
03;033;Springe;45827;39268;1017;38251;18986;14334;0;4092;839
03;034;Hildesheim, Stadt;70306;56165;873;55292;24870;23286;0;5064;2072
03;035;Alfeld (Leine);56889;49372;1188;48184;24008;18344;0;4567;1265
03;036;Duderstadt;26727;23141;474;22667;4890;16397;0;1145;235
03;037;Einbeck;30393;26057;657;25400;11754;9729;0;3203;714
03;038;Göttingen;100195;79867;1297;78570;34419;29286;0;12136;2729
03;039;Hildesheim-Marienburg;76632;66353;1403;64950;29925;28811;0;4497;1717
03;040;Holzminden;59233;50422;1296;49126;24220;16916;0;6494;1496
03;041;Münden;31255;25929;472;25457;12604;9409;0;2515;929
03;042;Northeim;63718;53923;1085;52838;26003;18185;0;6589;2061
03;043;Osterode am Harz;60897;50701;1218;49483;23951;19031;0;4240;2261
03;044;Peine;69418;58285;1432;56853;27892;22645;0;4161;2155
03;045;Zellerfeld;24552;19565;462;19103;9287;7230;0;2076;510
03;046;Celle, Stadt;42048;32727;788;31939;11846;14553;0;3429;2111
03;047;Lüneburg, Stadt;41873;32485;553;31932;11706;14589;0;3943;1694
03;048;Wolfsburg, Stadt;49743;40121;796;39325;15775;18884;0;3520;1146
03;049;Burgdorf;85394;70990;1890;69100;30348;28320;0;7863;2569
03;050;Celle;66587;54954;1412;53542;18447;26620;0;5069;3406
03;051;Fallingbostel;42714;35124;1031;34093;13310;14604;0;4746;1433
03;052;Gifhorn;84220;69843;1949;67894;22477;35427;0;6884;3106
03;053;Harburg;88694;72447;1618;70829;23240;35541;0;8704;3344
03;054;Lüchow-Dannenberg;37706;30356;642;29714;8891;15741;0;3894;1188
03;055;Lüneburg;40722;32785;804;31981;11051;15722;0;3961;1247
03;056;Soltau;41622;33441;718;32723;10046;18017;0;3088;1572
03;057;Uelzen;68298;56623;1251;55372;19133;27276;0;7044;1919
03;058;Cuxhaven, Stadt;32012;23896;585;23311;10307;9563;0;2533;908
03;059;Bremervörde;46506;38713;1225;37488;9590;22606;0;3565;1727
03;060;Land Hadeln;42719;34578;932;33646;11859;17248;0;3520;1019
03;061;Osterholz;49209;40683;1092;39591;15222;19509;0;3333;1527
03;062;Rotenburg (Hannover);35671;29569;720;28849;9639;16259;0;2203;748
03;063;Stade;91074;73641;2275;71366;25652;34210;0;9240;2264
03;064;Verden;58820;47799;1156;46643;18561;22128;0;4179;1775
03;065;Wesermünde;48404;40044;1195;38849;13447;20669;0;3494;1239
03;066;Osnabrück, Stadt;101184;81805;1332;80473;34219;34714;0;9057;2483
03;067;Aschendorf-Hümmling;42641;36754;864;35890;3993;30677;0;1014;206
03;068;Bersenbrück;55108;46221;1343;44878;15241;23994;0;3639;2004
03;069;Grafschaft Bentheim;66969;55828;1197;54631;18038;29249;0;5026;2318
03;070;Lingen;45988;39990;947;39043;7478;29710;0;1585;270
03;071;Melle;27684;23367;477;22890;8264;10702;0;3283;641
03;072;Meppen;42230;36521;823;35698;5243;28925;0;1207;323
03;073;Osnabrück;86600;75339;1457;73882;25047;41959;0;5371;1505
03;074;Wittlage;19163;15644;349;15295;5409;6952;0;2355;579
03;075;Emden, Stadt;31698;25298;679;24619;12724;8553;0;2214;1128
03;076;Aurich (Ostfriesland);49768;37188;983;36205;14289;17475;0;3375;1066
03;077;Leer;86924;68596;2173;66423;26018;33187;0;5307;1911
03;078;Norden;52107;42053;1423;40630;20136;15547;0;3608;1339
03;079;Wittmund;34917;25625;859;24766;7451;12147;0;4415;753
03;080;Braunschweig, Stadt;176060;138917;2783;136134;63235;52507;0;16305;4087
03;081;Goslar, Stadt;30666;24476;561;23915;9729;10876;0;2600;710
03;082;Salzgitter, Stadt;78625;65084;1614;63470;29893;26790;0;4838;1949
03;083;Blankenburg;10463;8385;226;8159;4042;3168;0;637;312
03;084;Braunschweig;57895;48646;1115;47531;19323;21351;0;5522;1335
03;085;Gandersheim;55200;46650;1313;45337;21527;18000;0;4689;1121
03;086;Goslar;28795;24527;765;23762;11180;10338;0;1790;454
03;087;Helmstedt;84638;70484;1907;68577;27688;33745;0;5086;2058
03;088;Wolfenbüttel;97735;80852;1858;78994;35381;33431;0;8082;2100
03;089;Delmenhorst, Stadt;42794;35309;823;34486;16138;13920;0;3125;1303
03;090;Oldenburg (Oldenburg), Stadt;90942;70414;1561;68853;25941;27911;0;10967;4034
03;091;Wilhelmshaven, Stadt;73149;57461;1234;56227;27572;21409;0;5157;2089
03;092;Ammerland;48381;38549;1007;37542;10178;17008;0;8635;1721
03;093;Cloppenburg;59602;52185;1442;50743;6932;41386;0;1754;671
03;094;Friesland;60201;47790;1410;46380;18309;17636;0;8201;2234
03;095;Oldenburg (Oldenburg);51270;42750;983;41767;13174;20185;0;6595;1813
03;096;Vechta;48777;43141;1089;42052;5071;35042;0;1162;777
03;097;Wesermarsch;66275;53781;1377;52404;21926;20325;0;7921;2232
04;099;Bremen, Stadt;422470;338936;6820;332116;162703;108749;0;39833;20831
04;100;Bremerhaven, Stadt;103260;80936;1544;79392;40880;28296;0;6880;3336
05;101;Düsseldorf, Stadt;490526;374261;6073;368188;161281;160831;0;32092;13984
05;102;Duisburg, Stadt;340678;263871;3783;260088;141806;95103;0;14926;8253
05;103;Essen, Stadt;520926;403866;5230;398636;211116;153388;0;23987;10145
05;104;Krefeld, Stadt;156957;119903;1797;118106;49157;54604;0;10544;3801
05;105;Leverkusen, Stadt;68992;53019;926;52093;23849;22724;0;4171;1349
05;106;Mönchengladbach, Stadt;105327;80932;1575;79357;26460;45173;0;5806;1918
05;107;Mülheim an der Ruhr, Stadt;137576;108697;1573;107124;56788;38023;0;9423;2890
05;108;Neuss, Stadt;69739;55148;1147;54001;18983;29758;0;3902;1358
05;109;Oberhausen, Stadt;174694;139594;2927;136667;70606;56825;0;6416;2820
05;110;Remscheid, Stadt;92416;72660;996;71664;32825;27707;0;7652;3480
05;111;Rheydt, Stadt;68150;52132;1351;50781;18843;25404;0;4761;1773
05;112;Solingen, Stadt;127729;101172;1716;99456;45290;37485;0;10709;5972
05;113;Viersen, Stadt;30092;24140;496;23644;8728;12532;0;1785;599
05;114;Wuppertal, Stadt;308815;237982;3294;234688;106570;94726;0;25114;8278
05;115;Dinslaken;84460;69451;1386;68065;37026;25516;0;4166;1357
05;116;Düsseldorf-Mettmann;237002;190150;2511;187639;83846;80646;0;16908;6239
05;117;Geldern;53485;46011;928;45083;10072;31905;0;2694;412
05;118;Grevenbroich;130434;106640;2540;104100;34743;59656;0;7631;2070
05;119;Kempen-Krefeld;146859;121399;2611;118788;40186;66918;0;9157;2527
05;120;Kleve;62666;52966;1021;51945;14287;33867;0;3154;637
05;121;Moers;222085;180648;3605;177043;91155;71586;0;10650;3652
05;122;Rees;69528;57825;1298;56527;20698;29722;0;5418;689
05;123;Rhein-Wupper-Kreis;140766;113540;1858;111682;44443;51425;0;12122;3692
05;124;Bonn, Stadt;100556;67477;1018;66459;20392;36800;0;7172;2095
05;125;Köln, Stadt;593707;426169;7286;418883;185500;187118;0;33180;13085
05;126;Bergheim (Erft);73178;61584;1674;59910;25165;30749;0;3234;762
05;127;Bonn;146315;115174;2015;113159;32673;66964;0;10824;2698
05;128;Euskirchen;73644;60916;1401;59515;18825;34996;0;4626;1068
05;129;Köln;148791;119619;2526;117093;46138;58968;0;9333;2654
05;130;Oberbergischer Kreis;97432;78724;1374;77350;29890;35400;0;9311;2749
05;131;Rheinisch-Bergischer Kreis;157526;127405;2237;125168;42934;67896;0;10791;3547
05;132;Rhein-Sieg-Kreis;177341;143854;2935;140919;46413;79981;0;11354;3171
05;133;Aachen, Stadt;119012;90288;1481;88807;33881;45537;0;7025;2364
05;134;Aachen;179661;150201;3050;147151;59374;76282;0;8335;3160
05;135;Düren;102243;83426;2032;81394;28696;46255;0;5050;1393
