© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
01;001;Flensburg, Stadt;67777;56106;663;55443;28823;21615;0;2512;2094;179;220
01;002;Kiel, Landeshauptstadt;190359;161963;1421;160542;83976;61042;0;7989;5941;1163;431
01;003;Lübeck, Hansestadt;175202;151284;1988;149296;71517;63864;0;6680;5887;810;538
01;004;Neumünster, Stadt;53250;45905;556;45349;21771;19965;0;1997;1346;196;74
01;005;Eckernförde;47990;40892;556;40336;17162;19248;0;1910;1746;129;141
01;006;Eiderstedt;12947;10429;152;10277;4000;4703;0;1025;505;31;13
01;007;Eutin;66644;58105;773;57332;23698;27444;0;2952;2777;228;233
01;008;Flensburg-Land;45351;37859;415;37444;14416;19058;0;1866;1877;87;140
01;009;Herzogtum Lauenburg;98336;86269;1012;85257;36299;40499;0;3964;3828;377;290
01;010;Husum;43789;36235;441;35794;13358;18649;0;2168;1486;72;61
01;011;Norderdithmarschen;42174;36151;556;35595;12446;18922;0;1790;2283;101;53
01;012;Oldenburg in Holstein;53147;45638;575;45063;19044;21497;0;1979;2343;94;106
01;013;Pinneberg;177946;157002;1609;155393;70840;68785;0;9167;5182;851;568
01;014;Plön;80997;70946;800;70146;30750;32406;0;3150;3317;282;241
01;015;Rendsburg;112993;96452;1246;95206;37198;47998;0;4851;4611;278;270
01;016;Schleswig;65500;55290;638;54652;19891;28979;0;2957;2568;130;127
01;017;Segeberg;73715;63174;822;62352;22115;33064;0;3761;3004;169;239
01;018;Steinburg;86734;75727;836;74891;30300;36395;0;4040;3692;324;140
01;019;Stormarn;123134;108578;1043;107535;47865;47504;0;6980;4291;609;286
01;020;Süderdithmarschen;50255;43212;572;42640;15749;21782;0;2045;2866;123;75
01;021;Südtondern;43271;34683;386;34297;12319;18403;0;2088;1268;148;71
02;022;Hamburg, Freie und Hansestadt;1341494;1174981;8172;1166809;637051;397246;0;73206;40814;13653;4839
03;023;Hameln, Stadt;35745;31699;451;31248;14555;13554;0;1702;1212;114;111
03;024;Hannover, Landeshauptstadt;385799;334399;3923;330476;178018;117790;0;19781;11031;2604;1252
03;025;Grafschaft Diepholz;50901;42792;706;42086;13011;19133;0;6407;3304;69;162
03;026;Grafschaft Hoya;78671;68399;1034;67365;22175;32637;0;8367;3866;145;175
03;027;Grafschaft Schaumburg;56563;51368;848;50520;24273;20008;0;2405;2107;251;1476
03;028;Hameln-Pyrmont;57543;51714;765;50949;23763;21635;0;2849;2341;155;206
03;029;Hannover;155546;141610;1715;139895;72719;53773;0;7530;4541;659;673
03;030;Neustadt am Rübenberge;73605;65175;862;64313;31575;25900;0;3415;2825;251;347
03;031;Nienburg (Weser);69474;58966;938;58028;23263;26945;0;3998;3475;143;204
03;032;Schaumburg-Lippe;58551;52291;826;51465;26769;19641;0;2722;1808;189;336
03;033;Springe;47780;43318;677;42641;21240;17162;0;2247;1488;145;359
03;034;Hildesheim, Stadt;67457;59017;551;58466;28156;24587;0;2967;2004;300;452
03;035;Alfeld (Leine);55985;51802;801;51001;26531;19834;0;2205;1836;185;410
03;036;Duderstadt;26088;23964;387;23577;5817;16474;0;637;547;43;59
03;037;Einbeck;29428;26882;416;26466;12830;10636;0;1630;1170;102;98
03;038;Göttingen;101048;88489;890;87599;42663;33417;0;6558;4220;400;341
03;039;Hildesheim-Marienburg;78096;71635;990;70645;33236;31180;0;2401;2891;209;728
03;040;Holzminden;57987;52823;885;51938;26859;19929;0;2616;2235;134;165
03;041;Münden;30906;27553;338;27215;14294;10113;0;1246;1323;137;102
03;042;Northeim;62379;56490;836;55654;28369;21005;0;2781;3153;130;216
03;043;Osterode am Harz;60237;53516;776;52740;27001;20811;0;2184;2338;255;151
03;044;Peine;68057;61451;1049;60402;30659;24914;0;2021;2285;353;170
03;045;Zellerfeld;23453;20432;269;20163;10450;7817;0;1085;716;49;46
03;046;Celle, Stadt;41364;34330;523;33807;13449;17038;0;1319;1476;290;235
03;047;Lüneburg, Stadt;41258;33941;321;33620;14548;14796;0;2342;1629;173;132
03;048;Wolfsburg, Stadt;53384;45515;400;45115;21235;20009;0;2057;1513;148;153
03;049;Burgdorf;91114;81222;1094;80128;36872;33664;0;4596;3711;261;1024
03;050;Celle;68611;61797;956;60841;21730;32504;0;2266;3758;228;355
03;051;Fallingbostel;42318;36427;569;35858;14640;16130;0;2252;2440;97;299
03;052;Gifhorn;86825;76188;1237;74951;27290;38960;0;3456;4821;139;285
03;053;Harburg;95434;83053;1041;82012;31705;39447;0;5058;5181;347;274
03;054;Lüchow-Dannenberg;36546;31396;438;30958;9768;16076;0;1633;3253;76;152
03;055;Lüneburg;42014;36476;436;36040;13558;17480;0;2161;2601;90;150
03;056;Soltau;41955;36806;434;36372;11865;20151;0;1799;2213;63;281
03;057;Uelzen;66580;59394;801;58593;21600;29202;0;3189;3819;158;625
03;058;Cuxhaven, Stadt;31954;26240;313;25927;12513;10443;0;1621;1132;81;137
03;059;Bremervörde;46534;40303;560;39743;11285;22527;0;2235;3562;50;84
03;060;Land Hadeln;42701;35894;553;35341;13163;17770;0;1786;2451;77;94
03;061;Osterholz;51791;44879;673;44206;18886;19969;0;2659;2175;240;277
03;062;Rotenburg (Wümme);35967;31777;437;31340;11158;16806;0;1450;1783;49;94
03;063;Stade;93838;80373;1143;79230;31524;37506;0;4510;5323;209;158
03;064;Verden;59882;52403;799;51604;22481;23224;0;2882;2717;163;137
