county_name,voters_eligible,voters,votes_valid,cdu,spd,fdp,aud,gdp,adf_dfu,dg,drp_npd,election_year,first_second_vote,key_state,key_district,key_county,key_municipality
Frankenthal (Pfalz),23839,21440,20714,7840,9804,2150,,,426,,494,1961,first,07,5,11,000
Frankenthal (Pfalz),93781,83170,20592,7552,9704,2288,,89,447,11,501,1961,second,07,5,11,000
Kaiserslautern,60387,49498,48263,17744,19309,7322,,,1431,,2457,1961,first,07,5,12,000
Kaiserslautern,60387,49498,47393,17141,18766,7350,,262,1349,50,2475,1961,second,07,5,12,000
Koblenz,6776,59010,57322,30387,16442,8849,,315,697,,543,1961,first,07,1,11,000
Koblenz,6776,59010,56175,23272,16159,9024,,357,742,23,598,1961,second,07,1,11,000
Landau in der Pfalz,19550,16915,16486,7609,5509,2623,,121,221,23,379,1961,first,07,5,13,000
Landau in der Pfalz,19550,16915,16238,7381,5371,2723,,136,232,22,373,1961,second,07,5,13,000
Ludwigshafen am Rhein,116035,99070,96494,36746,45065,10290,,,2852,,1541,1961,first,07,5,14,000
Ludwigshafen am Rhein,116035,99070,95273,35041,44336,11042,,326,2896,59,1573,1961,second,07,5,14,000
Mainz,93781,83170,80824,34005,32665,10390,,543,2378,,843,1961,first,07,4,11,000
Mainz,93781,83170,79360,33067,31875,10502,,593,2441,38,844,1961,second,07,4,11,000
Neustadt an der Weinstraße,22306,19567,18985,7812,6636,3172,,132,712,,521,1961,first,07,5,15,000
Neustadt an der Weinstraße,22306,19567,18993,7686,6609,3273,,144,728,7,546,1961,second,07,5,15,000
Pirmasens,36952,31549,30724,11326,13230,4143,,117,869,108,931,1961,first,07,5,16,000
Pirmasens,36952,31549,30202,10860,12848,4374,,123,914,112,971,1961,second,07,5,16,000
Speyer,26584,23082,22423,10243,8981,2254,,105,577,20,243,1961,first,07,5,17,000
Speyer,26584,23082,22105,9964,8818,2382,,110,570,23,238,1961,second,07,5,17,000
Trier,59719,51189,49819,26688,14850,7032,,266,571,,412,1961,first,07,2,11,000
Trier,59719,51189,48366,25789,14342,6930,,270,579,13,443,1961,second,07,2,11,000
Worms,43921,38513,37135,14295,17143,3798,,,1373,,526,1961,first,07,4,12,000
Worms,43921,38513,35597,13187,16143,4144,,194,1358,53,518,1961,second,07,4,12,000
Zweibrücken,23049,19354,18755,6291,8150,2791,67,,222,65,1169,1961,first,07,5,18,000
Zweibrücken,23049,19354,18290,6121,7941,2683,78,,223,64,1180,1961,second,07,5,18,000
Frankenthal (Pfalz),25119,22431,21868,9009,10543,1479,,,375,,462,1965,first,07,3,11,000
Frankenthal (Pfalz),25119,22431,21835,8851,10328,1746,19,,398,,493,1965,second,07,3,11,000
Kaiserslautern,59939,47509,46362,16602,21472,5017,,,1337,,1924,1965,irst,07,3,12,000
Kaiserslautern,59939,47509,46396,16290,20947,5549,45,,1425,,2140,1965,second,07,3,12,000
Koblenz,69323,60314,58480,30428,21810,4788,71,,677,,706,1965,first,07,1,11,000
Koblenz,69323,60314,59256,30030,21569,6035,71,,706,,846,1965,second,07,1,11,000
Landau in der Pfalz,20526,17521,17004,8079,5822,2075,32,,244,,752,1965,first,07,3,13,000
Landau in der Pfalz,20526,17521,17106,7933,5895,2191,29,,259,,799,1965,second,07,3,13,000
